,round,resultId,raceId,circuitId,driverId,constructorId,position,proba_1,Pred_Position,Delta,Spread,pos_group,pred_pos_group
3,1,24206,1010,1,20,6,4,0.6,1,3,0,2,1
0,1,24203,1010,1,822,131,1,0.5,2,1,1,1,1
1,1,24204,1010,1,1,131,2,0.2,3,1,1,1,1
7,1,24210,1010,1,8,51,8,0.1,4,4,0,3,2
14,1,24217,1010,1,841,51,15,0.1,5,10,0,4,2
18,1,24221,1010,1,817,4,0,0.1,6,6,0,4,2
2,1,24205,1010,1,830,9,3,0,7,4,0,1,3
4,1,24207,1010,1,844,6,5,0,8,3,0,2,3
5,1,24208,1010,1,825,210,6,0,9,3,0,2,3
6,1,24209,1010,1,807,4,7,0,10,3,0,3,3
8,1,24211,1010,1,840,211,9,0,11,2,1,3,4
9,1,24212,1010,1,826,5,10,0,12,2,1,3,4
10,1,24213,1010,1,842,9,11,0,13,2,1,4,4
11,1,24214,1010,1,846,1,12,0,14,2,1,4,4
12,1,24215,1010,1,815,211,13,0,15,2,1,4,4
13,1,24216,1010,1,848,5,14,0,16,2,1,4,4
15,1,24218,1010,1,847,3,16,0,17,1,1,4,4
16,1,24219,1010,1,9,3,17,0,18,1,1,4,4
17,1,24220,1010,1,154,210,0,0,19,19,0,4,4
19,1,24222,1010,1,832,1,0,0,20,20,0,4,4
22,2,24225,1011,3,844,6,3,0.5,1,2,1,1,1
24,2,24227,1011,3,20,6,5,0.5,2,3,0,2,1
20,2,24223,1011,3,1,131,1,0.2,3,2,1,1,1
37,2,24240,1011,3,817,4,0,0.1,4,4,0,4,2
21,2,24224,1011,3,822,131,2,0,5,3,0,1,2
23,2,24226,1011,3,830,9,4,0,6,2,1,2,2
25,2,24228,1011,3,846,1,6,0,7,1,1,2,3
26,2,24229,1011,3,8,51,7,0,8,1,1,3,3
27,2,24230,1011,3,842,9,8,0,9,1,1,3,3
28,2,24231,1011,3,848,5,9,0,10,1,1,3,3
29,2,24232,1011,3,815,211,10,0,11,1,1,3,4
30,2,24233,1011,3,841,51,11,0,12,1,1,4,4
31,2,24234,1011,3,826,5,12,0,13,1,1,4,4
32,2,24235,1011,3,825,210,13,0,14,1,1,4,4
33,2,24236,1011,3,840,211,14,0,15,1,1,4,4
34,2,24237,1011,3,847,3,15,0,16,1,1,4,4
35,2,24238,1011,3,9,3,16,0,17,1,1,4,4
36,2,24239,1011,3,807,4,0,0,18,18,0,4,4
38,2,24241,1011,3,832,1,0,0,19,19,0,4,4
39,2,24242,1011,3,154,210,0,0,20,20,0,4,4
45,3,24248,1012,17,842,9,6,0.4,1,5,0,2,1
40,3,24243,1012,17,1,131,1,0.3,2,1,1,1,1
41,3,24244,1012,17,822,131,2,0.3,3,1,1,1,1
46,3,24249,1012,17,817,4,7,0.2,4,3,0,3,2
42,3,24245,1012,17,20,6,3,0.1,5,2,1,1,2
43,3,24246,1012,17,830,9,4,0,6,2,1,2,2
44,3,24247,1012,17,844,6,5,0,7,2,1,2,3
47,3,24250,1012,17,815,211,8,0,8,0,1,3,3
48,3,24251,1012,17,8,51,9,0,9,0,1,3,3
49,3,24252,1012,17,848,5,10,0,10,0,1,3,3
50,3,24253,1012,17,154,210,11,0,11,0,1,4,4
51,3,24254,1012,17,840,211,12,0,12,0,1,4,4
52,3,24255,1012,17,825,210,13,0,13,0,1,4,4
53,3,24256,1012,17,832,1,14,0,14,0,1,4,4
54,3,24257,1012,17,841,51,15,0,15,0,1,4,4
55,3,24258,1012,17,847,3,16,0,16,0,1,4,4
56,3,24259,1012,17,9,3,17,0,17,0,1,4,4
57,3,24260,1012,17,846,1,18,0,18,0,1,4,4
58,3,24261,1012,17,826,5,0,0,19,19,0,4,4
59,3,24262,1012,17,807,4,0,0,20,20,0,4,4
61,4,24264,1013,73,1,131,2,0.6,1,1,1,1,1
69,4,24272,1013,73,8,51,10,0.3,2,8,0,3,1
60,4,24263,1013,73,822,131,1,0.2,3,2,1,1,1
75,4,24278,1013,73,9,3,16,0.2,4,12,0,4,2
76,4,24279,1013,73,842,9,0,0.2,5,5,0,4,2
79,4,24282,1013,73,817,4,0,0.2,6,6,0,4,2
62,4,24265,1013,73,20,6,3,0.1,7,4,0,1,3
63,4,24266,1013,73,830,9,4,0.1,8,4,0,2,3
64,4,24267,1013,73,844,6,5,0,9,4,0,2,3
65,4,24268,1013,73,815,211,6,0,10,4,0,2,3
66,4,24269,1013,73,832,1,7,0,11,4,0,3,4
67,4,24270,1013,73,846,1,8,0,12,4,0,3,4
68,4,24271,1013,73,840,211,9,0,13,4,0,3,4
70,4,24273,1013,73,848,5,11,0,14,3,0,4,4
71,4,24274,1013,73,841,51,12,0,15,3,0,4,4
72,4,24275,1013,73,825,210,13,0,16,3,0,4,4
73,4,24276,1013,73,807,4,14,0,17,3,0,4,4
74,4,24277,1013,73,847,3,15,0,18,3,0,4,4
77,4,24280,1013,73,154,210,0,0,19,19,0,4,4
78,4,24281,1013,73,826,5,0,0,20,20,0,4,4
80,5,24283,1014,4,1,131,1,0.3,1,0,1,1,1
81,5,24284,1014,4,822,131,2,0.3,2,0,1,1,1
82,5,24285,1014,4,830,9,3,0.3,3,0,1,1,1
83,5,24286,1014,4,20,6,4,0.1,4,0,1,2,2
92,5,24295,1014,4,807,4,13,0.1,5,8,0,4,2
84,5,24287,1014,4,844,6,5,0,6,1,1,2,2
85,5,24288,1014,4,842,9,6,0,7,1,1,2,3
86,5,24289,1014,4,825,210,7,0,8,1,1,3,3
87,5,24290,1014,4,832,1,8,0,9,1,1,3,3
88,5,24291,1014,4,826,5,9,0,10,1,1,3,3
