,resultId,NN_Outcome,NN_Bin
1,24204,1,1
3,24206,2,1
0,24203,3,1
2,24205,4,2
4,24207,5,2
14,24217,6,2
11,24214,7,3
18,24221,8,3
7,24210,9,3
12,24215,10,3
6,24209,11,4
13,24216,12,4
17,24220,13,4
9,24212,14,4
8,24211,15,4
10,24213,16,4
5,24208,17,4
16,24219,18,4
19,24222,19,4
15,24218,20,4
20,24223,1,1
24,24227,2,1
22,24225,3,1
23,24226,4,2
21,24224,5,2
26,24229,6,2
25,24228,7,3
37,24240,8,3
30,24233,9,3
28,24231,10,3
38,24241,11,4
29,24232,12,4
31,24234,13,4
27,24230,14,4
33,24236,15,4
35,24238,16,4
32,24235,17,4
36,24239,18,4
39,24242,19,4
34,24237,20,4
40,24243,1,1
42,24245,2,1
41,24244,3,1
49,24252,4,2
43,24246,5,2
46,24249,6,2
44,24247,7,3
54,24257,8,3
57,24260,9,3
59,24262,10,3
45,24248,11,4
48,24251,12,4
47,24250,13,4
58,24261,14,4
56,24259,15,4
51,24254,16,4
52,24255,17,4
50,24253,18,4
53,24256,19,4
55,24258,20,4
61,24264,1,1
63,24266,2,1
62,24265,3,1
69,24272,4,2
60,24263,5,2
79,24282,6,2
65,24268,7,3
75,24278,8,3
76,24279,9,3
67,24270,10,3
71,24274,11,4
64,24267,12,4
70,24273,13,4
78,24281,14,4
73,24276,15,4
68,24271,16,4
66,24269,17,4
74,24277,18,4
77,24280,19,4
72,24275,20,4
80,24283,1,1
83,24286,2,1
82,24285,3,1
81,24284,4,2
92,24295,5,2
84,24287,6,2
95,24298,7,3
99,24302,8,3
91,24294,9,3
85,24288,10,3
93,24296,11,4
90,24293,12,4
88,24291,13,4
98,24301,14,4
89,24292,15,4
97,24300,16,4
87,24290,17,4
86,24289,18,4
94,24297,19,4
96,24299,20,4
100,24306,1,1
102,24308,2,1
103,24309,3,1
101,24307,4,2
108,24314,5,2
118,24324,6,2
119,24325,7,3
110,24316,8,3
107,24313,9,3
106,24312,10,3
116,24322,11,4
104,24310,12,4
115,24321,13,4
105,24311,14,4
113,24319,15,4
111,24317,16,4
112,24318,17,4
117,24323,18,4
109,24315,19,4
114,24320,20,4
120,24326,1,1
121,24327,2,1
125,24331,3,1
122,24328,4,2
123,24329,5,2
139,24345,6,2
132,24338,7,3
124,24330,8,3
126,24332,9,3
127,24333,10,3
136,24342,11,4
134,24340,12,4
129,24335,13,4
128,24334,14,4
138,24344,15,4
137,24343,16,4
130,24336,17,4
131,24337,18,4
133,24339,19,4
135,24341,20,4
140,24346,1,1
141,24347,2,1
155,24361,3,1
148,24354,4,2
144,24350,5,2
143,24349,6,2
150,24356,7,3
142,24348,8,3
146,24352,9,3
154,24360,10,3
151,24357,11,4
147,24353,12,4
145,24351,13,4
