,year,round,resultId,raceId,circuitId,circuitRef,driverId,driverRef,constructorId,grid,position,statusId,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,Win
0,2008,1,1,18,1,albert_park,1,hamilton,1,1,1,1,1,0,0,0,0,1
1,2008,1,2,18,1,albert_park,2,heidfeld,2,5,2,1,1,0,0,0,0,0
2,2008,1,3,18,1,albert_park,3,rosberg,3,7,3,1,1,0,0,0,0,0
3,2008,1,4,18,1,albert_park,4,alonso,4,11,4,1,1,0,0,0,0,0
4,2008,1,5,18,1,albert_park,5,kovalainen,1,3,5,1,1,0,0,0,0,0
5,2008,1,6,18,1,albert_park,6,nakajima,3,13,6,11,1,0,0,0,0,0
6,2008,1,7,18,1,albert_park,7,bourdais,5,17,7,5,1,0,0,0,0,0
7,2008,1,8,18,1,albert_park,8,raikkonen,6,15,8,5,1,0,0,0,0,0
8,2008,1,9,18,1,albert_park,9,kubica,2,2,0,4,1,0,0,0,0,0
9,2008,1,10,18,1,albert_park,10,glock,7,18,0,3,1,0,0,0,0,0
10,2008,1,11,18,1,albert_park,11,sato,8,19,0,7,1,0,0,0,0,0
11,2008,1,12,18,1,albert_park,12,piquet_jr,4,20,0,8,1,0,0,0,0,0
12,2008,1,13,18,1,albert_park,13,massa,6,4,0,5,1,0,0,0,0,0
13,2008,1,14,18,1,albert_park,14,coulthard,9,8,0,4,1,0,0,0,0,0
14,2008,1,15,18,1,albert_park,15,trulli,7,6,0,10,1,0,0,0,0,0
15,2008,1,16,18,1,albert_park,16,sutil,10,22,0,9,1,0,0,0,0,0
16,2008,1,17,18,1,albert_park,17,webber,9,14,0,4,1,0,0,0,0,0
17,2008,1,18,18,1,albert_park,18,button,11,12,0,4,1,0,0,0,0,0
18,2008,1,19,18,1,albert_park,19,davidson,8,21,0,4,1,0,0,0,0,0
19,2008,1,20,18,1,albert_park,20,vettel,5,9,0,4,1,0,0,0,0,0
20,2008,1,21,18,1,albert_park,21,fisichella,10,16,0,4,1,0,0,0,0,0
21,2008,1,22,18,1,albert_park,22,barrichello,11,10,0,2,1,0,0,0,0,0
22,2008,2,23,19,2,sepang,8,raikkonen,6,2,1,1,0,0,0,0,1,1
23,2008,2,24,19,2,sepang,9,kubica,2,4,2,1,0,0,0,0,1,0
24,2008,2,25,19,2,sepang,5,kovalainen,1,8,3,1,0,0,0,0,1,0
25,2008,2,26,19,2,sepang,15,trulli,7,3,4,1,0,0,0,0,1,0
26,2008,2,27,19,2,sepang,1,hamilton,1,9,5,1,0,0,0,0,1,0
27,2008,2,28,19,2,sepang,2,heidfeld,2,5,6,1,0,0,0,0,1,0
28,2008,2,29,19,2,sepang,17,webber,9,6,7,1,0,0,0,0,1,0
29,2008,2,30,19,2,sepang,4,alonso,4,7,8,1,0,0,0,0,1,0
30,2008,2,31,19,2,sepang,14,coulthard,9,12,9,1,0,0,0,0,1,0
31,2008,2,32,19,2,sepang,18,button,11,11,10,1,0,0,0,0,1,0
32,2008,2,33,19,2,sepang,12,piquet_jr,4,13,11,1,0,0,0,0,1,0
33,2008,2,34,19,2,sepang,21,fisichella,10,17,12,11,0,0,0,0,1,0
34,2008,2,35,19,2,sepang,22,barrichello,11,14,13,11,0,0,0,0,1,0
35,2008,2,36,19,2,sepang,3,rosberg,3,16,14,11,0,0,0,0,1,0
36,2008,2,37,19,2,sepang,19,davidson,8,21,15,11,0,0,0,0,1,0
37,2008,2,38,19,2,sepang,11,sato,8,19,16,12,0,0,0,0,1,0
