ending_position,raceId,curcuit_id,driverId,constructorId,starting_position,finish_status,train_test,resultId
1,337,3,4,6,3,1,1,20323
2,337,3,13,6,2,1,1,20324
3,337,3,1,1,4,1,1,20325
4,337,3,20,9,1,1,1,20326
5,337,3,3,131,5,1,1,20327
6,337,3,30,131,7,1,1,20328
7,337,3,18,1,8,1,1,20329
8,337,3,17,9,6,1,1,20330
9,337,3,24,10,12,1,1,20331
10,337,3,22,3,11,1,1,20332
11,337,3,9,4,9,1,1,20333
12,337,3,16,10,10,1,1,20334
13,337,3,153,5,18,1,1,20335
14,337,3,807,3,13,1,1,20336
15,337,3,5,205,21,1,1,20337
0,337,3,67,5,15,2,1,20338
0,337,3,15,205,20,2,1,20339
0,337,3,37,15,14,2,1,20340
0,337,3,811,164,23,2,1,20341
0,337,3,10,166,19,2,1,20342
0,337,3,808,4,17,2,1,20343
0,337,3,155,15,16,2,1,20344
0,337,3,810,166,22,2,1,20345
0,337,3,812,164,24,2,1,20346
1,338,1,18,1,4,1,1,20347
2,338,1,9,4,9,1,1,20348
3,338,1,13,6,5,1,1,20349
4,338,1,4,6,3,1,1,20350
5,338,1,3,131,6,1,1,20351
6,338,1,1,1,11,1,1,20352
7,338,1,24,10,13,1,1,20353
8,338,1,22,3,8,1,1,20354
9,338,1,17,9,2,1,1,20355
10,338,1,30,131,7,1,1,20356
11,338,1,153,5,17,1,1,20357
12,338,1,37,15,14,1,1,20358
13,338,1,5,205,19,1,1,20359
14,338,1,812,164,22,1,1,20360
0,338,1,10,166,23,2,1,20361
0,338,1,810,166,24,2,1,20362
0,338,1,20,9,1,2,1,20363
0,338,1,16,10,10,2,1,20364
0,338,1,808,4,18,2,1,20365
0,338,1,811,164,21,2,1,20366
0,338,1,67,5,12,2,1,20367
0,338,1,807,3,15,2,1,20368
0,338,1,155,15,16,2,1,20369
0,338,1,15,205,20,2,1,20370
1,339,2,20,9,3,1,1,20371
2,339,2,17,9,1,1,1,20372
3,339,2,3,131,2,1,1,20373
4,339,2,9,4,6,1,1,20374
5,339,2,16,10,4,1,1,20375
6,339,2,1,1,20,1,1,20376
7,339,2,13,6,21,1,1,20377
8,339,2,18,1,17,1,1,20378
9,339,2,153,5,14,1,1,20379
10,339,2,807,3,5,1,1,20380
11,339,2,67,5,13,1,1,20381
12,339,2,22,3,7,1,1,20382
0,339,2,4,6,19,2,1,20383
14,339,2,810,166,24,1,1,20384
15,339,2,812,164,22,1,1,20385
16,339,2,811,164,23,1,1,20386
17,339,2,15,205,18,1,1,20387
0,339,2,5,205,15,2,1,20388
0,339,2,808,4,11,2,1,20389
0,339,2,24,10,10,2,1,20390
0,339,2,30,131,8,2,1,20391
0,339,2,155,15,9,2,1,20392
0,339,2,10,166,16,2,1,20393
0,339,2,37,15,12,2,1,20394
1,340,17,18,1,5,1,1,20395
2,340,17,1,1,6,1,1,20396
3,340,17,3,131,4,1,1,20397
4,340,17,4,6,3,1,1,20398
5,340,17,9,4,8,1,1,20399
6,340,17,20,9,1,1,1,20400
7,340,17,808,4,14,1,1,20401
8,340,17,17,9,2,1,1,20402
9,340,17,13,6,7,1,1,20403
10,340,17,30,131,9,1,1,20404
11,340,17,16,10,10,1,1,20405
12,340,17,22,3,11,1,1,20406
13,340,17,153,5,12,1,1,20407
14,340,17,5,205,21,1,1,20408
15,340,17,807,3,16,1,1,20409
16,340,17,811,164,23,1,1,20410
17,340,17,812,164,24,1,1,20411
0,340,17,15,205,20,2,1,20412
0,340,17,810,166,22,2,1,20413
0,340,17,37,15,17,2,1,20414
0,340,17,67,5,13,2,1,20415
0,340,17,155,15,15,2,1,20416
0,340,17,24,10,18,2,1,20417
0,340,17,10,166,19,2,1,20418
1,341,4,17,9,1,1,1,20419
2,341,4,4,6,4,1,1,20420
3,341,4,20,9,2,1,1,20421
4,341,4,30,131,6,1,1,20422
5,341,4,18,1,5,1,1,20423
6,341,4,13,6,9,1,1,20424
7,341,4,16,10,11,1,1,20425
8,341,4,9,4,7,1,1,20426
9,341,4,22,3,17,1,1,20427
10,341,4,153,5,15,1,1,20428
11,341,4,808,4,19,1,1,20429
12,341,4,155,15,10,1,1,20430
13,341,4,3,131,8,1,1,20431
0,341,4,1,1,3,2,1,20432
0,341,4,24,10,16,2,1,20433
16,341,4,807,3,13,1,1,20434
17,341,4,15,205,18,1,1,20435
18,341,4,10,166,22,1,1,20436
19,341,4,810,166,23,1,1,20437
0,341,4,67,5,14,2,1,20438
0,341,4,812,164,24,2,1,20439
0,341,4,37,15,12,2,1,20440
0,341,4,811,164,21,2,1,20441
0,341,4,5,205,20,2,1,20442
1,342,6,17,9,1,1,1,20443
2,342,6,20,9,3,1,1,20444
3,342,6,9,4,2,1,1,20445
4,342,6,13,6,4,1,1,20446
5,342,6,1,1,5,1,1,20447
6,342,6,4,6,24,1,1,20448
7,342,6,3,131,6,1,1,20449
8,342,6,16,10,12,1,1,20450
9,342,6,24,10,10,1,1,20451
10,342,6,67,5,13,1,1,20452
11,342,6,153,5,17,1,1,20453
12,342,6,30,131,7,1,1,20454
0,342,6,808,4,14,2,1,20455
0,342,6,812,164,23,2,1,20456
0,342,6,15,205,19,2,1,20457
0,342,6,5,205,18,2,1,20458
0,342,6,811,164,22,2,1,20459
0,342,6,22,3,9,2,1,20460
0,342,6,155,15,16,2,1,20461
0,342,6,810,166,21,2,1,20462
0,342,6,10,166,20,2,1,20463
0,342,6,37,15,15,2,1,20464
0,342,6,18,1,8,2,1,20465
0,342,6,807,3,11,2,1,20466
1,343,5,1,1,2,1,1,20467
2,343,5,18,1,4,1,1,20468
3,343,5,17,9,1,1,1,20469
4,343,5,30,131,5,1,1,20470
5,343,5,3,131,6,1,1,20471
6,343,5,9,4,7,1,1,20472
7,343,5,13,6,8,1,1,20473
8,343,5,4,6,12,1,1,20474
9,343,5,16,10,11,1,1,20475
10,343,5,155,15,10,1,1,20476
11,343,5,37,15,13,1,1,20477
12,343,5,153,5,16,1,1,20478
13,343,5,24,10,18,1,1,20479
14,343,5,22,3,15,1,1,20480
15,343,5,808,4,9,1,1,20481
16,343,5,67,5,14,1,1,20482
17,343,5,807,3,17,1,1,20483
18,343,5,10,166,21,1,1,20484
19,343,5,810,166,23,1,1,20485
0,343,5,812,164,24,2,1,20486
0,343,5,811,164,22,2,1,20487
0,343,5,20,9,3,2,1,20488
0,343,5,5,205,20,2,1,20489
0,343,5,15,205,19,2,1,20490
1,344,7,1,1,1,1,1,20491
2,344,7,18,1,4,1,1,20492
3,344,7,4,6,3,1,1,20493
4,344,7,20,9,2,1,1,20494
5,344,7,17,9,7,1,1,20495
6,344,7,3,131,10,1,1,20496
7,344,7,9,4,8,1,1,20497
8,344,7,67,5,15,1,1,20498
9,344,7,24,10,5,1,1,20499
10,344,7,16,10,9,1,1,20500
